epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.38927,0.72502,2.22454,0.34585,3.06655,0.94015,0.30489,0.28444,0.31081,0.24152,0.30489,0.28444,0.31046,0.27966,0.3748,0.80023,0.13336,2.51792,0.79518,6.666e-05,6.666e-05,6.666e-05
2,5.98939,0.51141,1.32412,0.24042,2.8788,0.89218,0.37766,0.68196,0.30519,0.2393,0.37766,0.68196,0.27839,0.18864,0.58985,1.22788,0.12108,2.13287,0.83936,0.000130131,0.000130131,0.000130131
3,7.5199,0.44948,0.92309,0.17155,2.34569,0.89194,0.89587,0.4,0.70773,0.62329,0.89587,0.4,0.70773,0.42368,0.56169,1.39771,0.07846,2.05109,0.83986,0.000178204,0.000178204,0.000178204
4,9.05373,0.45445,0.87781,0.13552,1.95842,0.86668,0.78946,0.8,0.83816,0.79863,0.78946,0.8,0.83816,0.74587,0.35629,0.73083,0.04601,1.34502,0.76784,0.000210879,0.000210879,0.000210879
5,10.5904,0.37803,0.61927,0.12594,1.48018,0.85476,0.56601,0.8,0.84606,0.81628,0.56601,0.8,0.84606,0.5985,0.3711,1.19965,0.04378,1.52791,0.77295,0.000228155,0.000228155,0.000228155
6,12.1887,0.37086,0.54773,0.09774,1.19189,0.87391,0.86379,0.93827,0.89415,0.84328,0.86379,0.93827,0.89415,0.70609,0.41605,1.34272,0.03924,1.12182,0.77324,0.000230033,0.000230033,0.000230033
7,13.7694,0.39751,0.62107,0.08286,0.96027,0.848,0.98666,1,0.995,0.94932,0.98666,1,0.995,0.85015,0.36944,0.69459,0.03262,0.59451,0.77576,0.000216512,0.000216512,0.000216512
8,15.316,0.36245,0.41291,0.07948,0.84878,0.83421,0.99583,1,0.995,0.88843,0.99583,1,0.995,0.89726,0.3902,0.53782,0.03504,0.56867,0.78174,0.000187592,0.000187592,0.000187592
9,19.6575,0.32816,0.35048,0.08294,0.7691,0.8688,0.99712,1,0.995,0.97053,0.99712,1,0.995,0.91328,0.24472,0.48746,0.03678,0.51659,0.75239,0.000143275,0.000143275,0.000143275
10,21.3405,0.28462,0.34966,0.09088,0.73925,0.84241,0.99635,1,0.995,0.98778,0.99635,1,0.995,0.95141,0.18759,0.2637,0.03868,0.48822,0.74704,8.35583e-05,8.35583e-05,8.35583e-05
