epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.49431,0.53178,1.66935,0.25745,3.21709,1.04348,0.37892,0.8,0.40768,0.37776,0.37892,0.8,0.4,0.28252,0.34275,1.18394,0.03946,2.28109,0.84205,0.00013332,0.00013332,0.00013332
2,7.87873,0.4651,1.65408,0.23684,2.60967,1.00826,0.4759,0.98661,0.76716,0.72617,0.4662,0.97685,0.75324,0.29686,0.37089,2.14479,0.16574,1.65758,0.85833,0.000272251,0.000272251,0.000272251
3,10.1924,0.51313,1.9276,0.24042,2.20327,1.01873,0.51703,0.99766,0.76001,0.65453,0.24457,0.61951,0.45951,0.21131,0.54331,2.55349,0.06237,1.68861,0.96941,0.000405462,0.000405462,0.000405462
4,12.4429,0.48158,1.64578,0.20945,1.90143,0.96711,0.76248,1,0.88783,0.83883,0.76248,1,0.88783,0.41431,0.34511,2.22726,0.03392,1.64613,0.82255,0.000532953,0.000532953,0.000532953
5,14.7021,0.43247,1.2414,0.18819,1.55509,0.92751,0.69323,1,0.89295,0.88781,0.69323,1,0.89295,0.68812,0.27351,1.07687,0.02738,1.19766,0.7922,0.000654726,0.000654726,0.000654726
6,17.0338,0.435,1.20263,0.17545,1.44011,0.9249,0.80623,1,0.86636,0.82789,0.80623,1,0.86636,0.77557,0.33662,0.70151,0.01671,0.92641,0.78909,0.000770778,0.000770778,0.000770778
7,19.2571,0.43438,1.48722,0.18745,1.26418,0.9399,0.91971,1,0.995,0.93361,0.91971,1,0.995,0.81222,0.39041,0.89372,0.03414,0.83738,0.83353,0.000881112,0.000881112,0.000881112
8,21.557,0.39047,1.26786,0.17787,1.09724,0.92705,0.98484,1,0.995,0.97095,0.98484,1,0.995,0.76689,0.29203,0.86757,0.01505,0.62206,0.7929,0.000957015,0.000957015,0.000957015
9,23.79,0.40771,1.29676,0.17155,1.03395,0.92046,0.99737,1,0.995,0.96903,0.99737,1,0.995,0.8491,0.29439,0.69865,0.02295,0.47661,0.77624,0.000935018,0.000935018,0.000935018
10,26.0647,0.40182,1.04334,0.17262,0.97762,0.92109,0.99728,1,0.995,0.9605,0.99728,1,0.995,0.90079,0.26501,0.52386,0.02625,0.55041,0.75124,0.00091302,0.00091302,0.00091302
